#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Entertainment,#genre#
Canal Telesur,https://epg.pw/stream/a78748f7f1cf3a1d086fbe163a73ec0d184498cd22f480df3dfb191f91a94c81.m3u8
Canal Telesur[geo-blocked],https://epg.pw/stream/43b7d00c8f54e3fb66c0eab18bb6cba60d453c1ffc57691531d7ff0acccad38a.m3u8
Canal Telesur,https://epg.pw/stream/d4c3722629b2c67e472a4026194f054891a57e7ed2fb3af7681fd98c7365c962.m3u8
Canal Telesur[geo-blocked],https://epg.pw/stream/0de88556bc1dbb67b62c3d5aeaa6252a37c481b448a16c480de00e806e873a4f.m3u8
Canal Telesur,https://epg.pw/stream/e8d770296a5092a876c23c48d6d798a114cee9e129793816aa89ba52d8afd4eb.m3u8
Canal Telesur,https://epg.pw/stream/26b1d8ae5f2aafa6b78c0c0be98ea09a49957f1ff0455ad5d4d0833c9b93acb0.m3u8
Canal Telesur,https://epg.pw/stream/6a233e7978c23428183a4ee56a841110eda7c45ede3d5661812c9c38855177cd.m3u8
Canal Telesur[geo-blocked],https://epg.pw/stream/058b62c5ebad730ef3c79db55aa5e4ccd6e2ba8b46130438adaf081b4d080218.m3u8
Canal Telesur[geo-blocked],https://epg.pw/stream/6b2b8932d1ad9a2a262f240e023623347e45f1a04cc83cdfb6f2aa58bbdff839.m3u8
Canal Telesur,https://epg.pw/stream/ab4d13284856e986c384e7403f5c5035ff4c7374ab86643991b84574a655fc80.m3u8
Canal Telesur,https://epg.pw/stream/9df63e71c1e453bb3d46c99b361c8cf4aa211607c06212f5079210dd31937230.m3u8
Canal Telesur,https://epg.pw/stream/154234a87e7eef9446d1c514941fd34e7d60a8dc294b722b8801e04e6b283dfc.m3u8
Canal Telesur,https://epg.pw/stream/1e10d973e06a92782d4d8c5ab15e281b57bf1f9513047dfd4466e3d8e2d11679.m3u8
Canal Telesur[geo-blocked],https://epg.pw/stream/318ae6c7c3b7d008cfce9faa54c91f29a638e1cbf175de154350a32d1b1f9783.m3u8
Canal Telesur[geo-blocked],https://epg.pw/stream/f34f4d2ee682d41c05bd0568a44ca7a0e5aff58d7a09c3cdaf166e45dc98aac9.m3u8
Canal Telesur,https://epg.pw/stream/d50b7d3ff5461da1be890fb7f886bbdb03573eff7bff3528dd4336461c2e491e.m3u8
Canal Telesur,https://epg.pw/stream/02d89e370eca1ad17fe7f3b16a923a34f2cb0fc7dd7934853882f83c200e097a.m3u8
Canal Telesur,https://epg.pw/stream/1f9a53ad172065998c04a2e8f4ab07a93ad71073748d05faff6a806ebd54137f.m3u8
Canal Telesur,https://epg.pw/stream/7a85f27bdb36861c0db710c1067ecb32fedcace40d2a753275689df72e78afb6.m3u8
Canal Telesur,https://epg.pw/stream/d801030c3cb744767bdb5e15f59ebe9a65d8c5278e2023cb6d7c59a77521a5d7.m3u8
Generic,#genre#
Azteca Honduras,https://epg.pw/stream/534fadb9ef2e6300bd968c6d30610d9faecfa484f0770421726f32b3539f1e48.ctv
Azteca Honduras,https://epg.pw/stream/a08041a433f2ea6bfa5398debe21c500b6e8ea577c0e39771266fc6bfd32f53d.ctv
Azteca Honduras,https://epg.pw/stream/56bb96d3cfec0701b1cbd4c9b38869a2f2d380bfb48340a23ac4b61d10e94b20.ctv
Azteca Honduras,https://epg.pw/stream/b203eedf09814858d42d9393c91c68255a434c7f77d86576fea27ffa51194303.ctv
Azteca Honduras,https://epg.pw/stream/2789ab8892b3c193f9d324f7b0afe548c20bbd91f430a37c8a59626113f1a40c.m3u8
Azteca Honduras,https://epg.pw/stream/8a413574ce82e22a8c3c371e3a10a3cf22ce4c183a4ceab25cef1364576888a9.ctv
Azteca Honduras,https://epg.pw/stream/ed370d92ea769d1b192cfab516260909cdfc95bf0d39ffde0e26eabb3b0ff460.ctv
Azteca Honduras,https://epg.pw/stream/37e1d67f6ac743f945e97650e73ef86e5de69150ba3b1235def3d399a6451ca6.ctv
Azteca Honduras,https://epg.pw/stream/752514b26c1da5fe3206f0134ae399f5384bf683488b94b6e740a59760070eec.m3u8
Azteca Honduras,https://epg.pw/stream/196bca49c3c100925e306300b125ae9b60f0f04663a0f822a62f42ef46a4c656.ctv
Azteca Honduras,https://epg.pw/stream/8e4e02b6026d9853035c192840d204037e24b2288e5ddb4f26aed68e149d8528.m3u8
Canal 10 Honduras,https://epg.pw/stream/e06f15f18962c1762d79071b73ed081276acb8f8a4cedf5002658513979531d1.m3u8
Canal 10 Honduras[geo-blocked],https://epg.pw/stream/2d59d101121bffdd949816112c3a75ade0a282992f5693f3bfbe7099dffe5747.m3u8
Telecadena Honduras,https://epg.pw/stream/1ed9ede7b16829dc057374b8fd43433d61df27b0c0ab23473121d226ac03d35c.ctv
Teleceiba Honduras,https://epg.pw/stream/1a2f4b169326f034a03ac8d2141a997c0a6dc4fb66c136b0b26bda3f76bf6513.ctv
Telefuturo,https://epg.pw/stream/b73352b7f7d3ee821b1c48302c9f5c6139d22a11293bc236e94be1cd1eb76628.ctv
Telefuturo[geo-blocked],https://epg.pw/stream/86601a91b64c1b846d5d40f1b566c67846f591e49ea3215d55e5f6c0477aaa45.m3u8
Telefuturo,https://epg.pw/stream/aead1aee0b016bcb7e6f58cf62e11da83138cded778d1dc15a1ffe056a98f610.ctv
Telefuturo,https://epg.pw/stream/79195aa3fd8efaca9be45cf18c80ad3d929e32fff17e74fd3779b18e1bf847eb.ctv
